code,phrase,employee classification rate
8388,"RUBBER TIRE DEALERS wholesale or retail, or combined wholesale and retail including inside salespersons, estimators, service writers, customer service representatives and cashiers; repairing and adjusting tires away from the premises; and accessories and spare parts departments",$4.30
4000(3),"SALT PRODUCTION by solar evaporation exclusively",$2.39
8742,"SALESPERSONS Outside",$0.33
8078(1),"SANDWICH SHOPS not restaurants N.O.C.",$1.29
4000(1),"SAND OR GRAVEL DIGGING including construction, repair or maintenance of all buildings, structures or equipment and installation of machinery",$2.39
7580,"SANITARY OR SANITATION DISTRICTS OPERATION all employees",$2.74
2710(1),"SAWMILLS OR SHINGLE MILLS all employees including grading, sorting, pulling, piling, drying, loading, storage and shipping of sawmill products",$5.50
9531(2),"SATELLITE TELEVISION OR INTERNET ANTENNA EQUIPMENT INSTALLATION, SERVICE OR REPAIR including shop, yard or storage operations",$3.02
9180(2),"SHOOTING CLUBS OR SHOOTING RANGES",$2.74
8846(2),"SCREEN PRINTED MERCHANDISE DEALERS editing, designing, proofreading and photographic composing including Clerical Office Employees and Clerical Telecommuter Employees",$1.24
9529(1),"SCAFFOLDS, SHORING, CONCRETE OR CEMENT DISTRIBUTING TOWERS, HOD HOISTS OR CONSTRUCTION ELEVATORS installation or removal",$4.60
3152(3),"SCREW MACHINE PRODUCTS MFG. N.O.C.",$2.83
4295(2),"SCREEN PRINTED MERCHANDISE DEALERS all other employees",$5.86
7721(2),"SECURITY GUARD OR PATROL SERVICES",$3.03
7605,"SECURITY ALARM, FIRE ALARM OR LIFE SAFETY SYSTEMS INSTALLATION, SERVICE OR REPAIR including shop, yard or storage operations",$2.38
5951,"SERUM, ANTITOXIN OR VIRUS MFG.",$0.51
8102,"SEED MERCHANTS including operation of seed sorting machinery",$1.37
6307,"SEWER CONSTRUCTION all operations including construction of laterals and tunneling at street crossings employees whose regular hourly wage does not equal or exceed $34.00 per hour",$6.98
6308,"SEWER CONSTRUCTION all operations including construction of laterals and tunneling at street crossings employees whose regular hourly wage equals or exceeds $34.00 per hour. Assignment of this classification is subject to verification at the time of final audit that the employees regular hourly wage equals or exceeds $34.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $34.00 per hour shall be classified as 6307, Sewer Construction.",$2.84
0034(2),"SHEEP, HOG OR CALF FARMS",$5.50
9402,"SEWER, TANK OR HAZARDOUS SPILL CLEANING N.O.C.",$3.16
5542(1),"SHEET METAL WORK erection, installation or repair including shop, yard or storage operations employees whose regular hourly wage equals or exceeds $27.00 per hour N.O.C. Assignment of this classification is subject to verification at the time of final audit that the employees regular hourly wage equals or exceeds $27.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $27.00 per hour shall be classified as 5538(1), Sheet Metal Work.",$2.52
3066(1),"SHEET METAL PRODUCTS MFG. shop only N.O.C.",$4.38
8806,"SHELTERED WORKSHOPS OR WORK ACTIVITY CENTERS all employees including supervisors, educational instructors, counselors, production managers and vocational evaluators",$2.93
5538(1),"SHEET METAL WORK erection, installation or repair including shop, yard or storage operations employees whose regular hourly wage does not equal or exceed $27.00 per hour N.O.C.",$5.07
2806(2),"SHUTTER MFG. wood or plastic",$4.81
5146(2),"SIGN INSTALLATION OR REPAIR interior or affixed to building surfaces",$4.37
9552,"SIGN ERECTION OR REPAIR N.O.C.",$8.29
5632,"STEEL FRAMING light gauge including the incidental installation of interior trim, doors and cabinet work employees whose regular hourly wage does not equal or exceed $35.00 per hour",$10.03
9507(2),"THIS CLASSIFICATION HAS BEEN ELIMINATED EFFECTIVE 01/01/2020. SIGN MFG. quick sign shops including outside operations including counterpersons",$2.86
4492,"SIGN MFG. metal, plastic or wood N.O.C.",$4.99
1741(1),"SILICA GRINDING",$3.21
9507,"SIGN PAINTING OR LETTERING AND QUICK SIGN SHOPS shop or outside including counterpersons",$2.86
9184,"SKI RESORTS Alpine including the operation of Nordic ski trails at Alpine ski resort locations",$9.11
9092(3),"SKATING CENTERS ice or roller including restaurant or tavern employees, retail store employees and counterpersons",$2.08
1438,"SMELTING, SINTERING, REFINING OR ALLOYING metal not lead N.O.C.",$5.09
8829(1),"SKILLED NURSING FACILITIES including supervisors and receptionists",$3.09
8804(2),"SOCIAL REHABILITATION FACILITIES FOR ADULTS all employees. Classification 8804(2) shall not be used for division of payroll in connection with Classifications 9070(1), Residential Care Facilities for the Elderly, 9070(3), Residential Care Facilities for Adults, 8823, Residential Care Facilities for Children, or 8851, Congregate Living Facilities for the Elderly, unless the operation described by Classification 8804(2) constitutes a separate and distinct enterprise having no connection with the operations covered by Classifications 9070(1), 9070(3), 8823 or 8851.",$2.74
4720,"SOAP OR SYNTHETIC DETERGENT MFG.",$3.06
3683,"SPEAKER MFG.",$0.95
3165(3),"SOLAR PANEL MFG.",$3.43
7207(1),"STABLES all employees N.O.C.",$7.55
2222,"SPINNING, WEAVING OR FIBER PROCESSING natural or synthetic fibers N.O.C.",$4.32
5633,"STEEL FRAMING light gauge including the incidental installation of interior trim, doors and cabinet work employees whose regular hourly wage equals or exceeds $35.00 per hour. Assignment of this classification is subject to verification at the time of final audit that the employees regular hourly wage equals or exceeds $35.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $35.00 per hour shall be classified as 5632, Steel Framing.",$4.50
5184,"STEAM PIPE OR BOILER INSULATION applying non-conducting materials including shop, yard or storage operations",$2.16
3018,"STEEL MAKING OR PROCESSING",$2.77
2081(2),"STOCKYARDS with or without butchering",$10.05
0038(1),"STOCK FARMS beef cattle or horses",$7.51
8061,"STORES convenience retail",$3.03
1803,"STONE CUTTING OR FABRICATION shop",$6.80
1710,"STONE CRUSHING including construction, repair or maintenance of all buildings, structures or equipment and the installation of machinery",$3.51
8066,"STORES bicycles and bicycle accessories wholesale or retail including repairs or rental operations",$1.14
8046,"STORES automobile or truck parts or accessories wholesale or retail including Outside Salespersons",$2.83
8008,"STORES clothing, shoes, linens or fabric products retail including alteration department",$2.12
8071,"STORES books, video media or recorded audio media retail",$1.03
8062,"STORES computer wholesale or retail including Outside Salespersons",$1.17
8032,"STORES clothing, shoes, linen or fabric products wholesale",$4.82
8013(2),"STORES eyewear wholesale or retail",$1.13
8039,"STORES department stores retail including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons",$2.38
8042,"STORES floor covering wholesale or retail carpet, rugs, vinyl or linoleum including showroom sales",$3.17
8117,"STORES feed, tack and farm supplies retail",$3.32
8006(2),"STORES fruit or vegetables retail",$3.61
8001,"STORES florists wholesale or retail including delivery, set up and service away from premises",$4.08
8004,"STORES garden supplies wholesale or retail N.O.C.",$3.34
8015,"STORES furniture wholesale or retail",$3.68
8006(1),"STORES groceries retail",$3.61
8017(7),"THIS CLASSIFICATION HAS BEEN ELIMINATED EFFECTIVE 01/01/2020. STORES hardware retail",$2.49
8010,"STORES hardware, electrical or plumbing supplies wholesale or retail",$2.74
5506,"STREET OR ROAD CONSTRUCTION paving or repaving, surfacing or resurfacing or scraping all kinds including airport runways, warming aprons, incidental field plants, fence or guardrail construction",$4.12
8063,"STORES lighting fixtures wholesale or retail",$3.23
8013(1),"STORES jewelry wholesale or retail",$1.13
8021,"STORES meat, fish or poultry wholesale",$6.22
8031,"STORES meat, fish or poultry retail",$4.78
8065,"STORES paint or paint supplies wholesale or retail",$2.08
8064,"STORES office supplies wholesale or retail",$2.75
8059,"STORES tile wholesale or retail",$2.76
8017(1),"STORES retail N.O.C.",$2.49
8018,"STORES wholesale N.O.C.",$5.18
8110,"THIS CLASSIFICATION HAS BEEN ELIMINATED EFFECTIVE 09/01/2021. STORES welding supplies wholesale or retail including the charging of welding cylinders",$2.46
8041,"STORES wine or spirits wholesale including blending, rectifying or bottling",$6.33
8060,"STORES wine, beer or spirits retail",$1.71
0079(1),"STRAWBERRY CROPS",$2.73
3169(1),"STOVE OR OVEN MFG. gas or electric",$3.39
5507,"STREET OR ROAD CONSTRUCTION grading all operations of bringing roadbed to grade, including clearing and grubbing right-of-way and temporary surfacing",$3.45
9403(2),"STREET SWEEPING SERVICE COMPANIES",$6.09
8804(1),"SUBSTANCE USE DISORDER RECOVERY HOMES all employees. Classification 8804(1) shall not be used for division of payroll in connection with Classifications 9070(1), Residential Care Facilities for the Elderly, 9070(3), Residential Care Facilities for Adults, 8823, Residential Care Facilities for Children, or 8851, Congregate Living Facilities for the Elderly, unless the operation described by Classification 8804(1) constitutes a separate and distinct enterprise having no connection with the operations covered by Classifications 9070(1), 9070(3), 8823 or 8851.",$2.74
8875(2),"SUPERINTENDENT OF PUBLIC SCHOOLS OFFICE all employees including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons",$0.73
2030,"SUGAR MFG. OR REFINING beet or cane including beet dumps",$3.28
0106,"TREE PRUNING, REPAIRING OR TRIMMING N.O.C. hand or mechanical power including ground crews and shop, yard or storage operations",$10.39
9053(3),"SWIMMING POOLS OR SWIMMING CLUBS including restaurant employees, retail store employees and receptionists",$1.51
9097,"SWIMMING POOL CLEANING OR SERVICING by specialty contractors",$3.32
4038(2),"TAXIDERMIST",$5.57
7365,"TAXICAB OPERATIONS all employees: Payroll shall include the entire remuneration earned by all taxicab drivers during the policy period.",$5.33
7600,"COMMUNICATION SERVICE PROVIDERS all employees including installation, maintenance, repair or operation of infrastructure or equipment including shop",$9.02
9531(1),"TELECOMMUNICATION ANTENNA EQUIPMENT INSTALLATION, SERVICE OR REPAIR including shop, yard or storage operations",$3.02
9529(3),"TENT erection, removal or repair away from shop",$4.60
3681(3),"TELECOMMUNICATIONS EQUIPMENT MFG.",$0.68
2413,"TEXTILES bleaching, dyeing, mercerizing, finishing fabric raw materials not cleaning and dyeing of garments",$4.70
5650,"TERMITE CONTROL WORK all operations including, shop, yard or storage operations, Outside Salespersons and estimators",$5.42
9155,"THEATERS motion picture all employees other than employees exclusively engaged in restaurant or tavern operations",$1.17
9156,"THEATERS dance, opera and theater companies all performers and directors of performers N.O.C. The entire remuneration of performers and directors of performers shall be included, subject to a maximum of $144,300 per year per person. When such employees do not work the entire year, the payroll limitation shall be prorated based upon the number of weeks in which such employees worked during the policy period.",$3.64
9154,"THEATERS not motion picture all employees other than performers and directors of performers including managers, stage hands, box office employees or ushers",$2.54
9151,"THEATERS musical entertainment live performances all performers and directors of performers. The entire remuneration of performers and directors of performers shall be included subject to a maximum of $144,300 per year per person. When such employees do not work the entire year, the payroll limitation shall be prorated based upon the number of weeks in which such employees worked during the policy period.",$0.66
3099,"TOOL MFG. N.O.C.",$3.38
5348,"TILE, STONE, MOSAIC OR TERRAZZO WORK not fireproof tile construction",$4.53
3383(4),"TROPHY MFG. including foundry operations",$3.07
0172,"TRUCK FARMS",$3.57
3815(2),"TRUCK BODY MFG. truck, trailer or bus bodies",$4.73
5192,"VENDING OR COIN-OPERATED MACHINES installation, service or repair including storage, shop and outside operations and Outside Salespersons",$3.49
7219(1),"TRUCKING FIRMS N.O.C. including terminal employees and mechanics",$6.38
3815(1),"TRUCK, TRUCK TRAILER OR BUS MFG. OR ASSEMBLING",$4.73
3401(1),"TUBE OR PIPE PRODUCTS MFG. N.O.C.",$4.10
2819,"TRUSS OR BUILDING COMPONENTS MFG. wood shop",$6.62
9516,"TELEVISION, VIDEO, AUDIO OR RADIO EQUIPMENT INSTALLATION, SERVICE OR REPAIR shop or outside",$2.13
6251,"TUNNELING all work to completion including lining",$3.82
8720(4),"UNMANNED AIRCRAFT SYSTEM OPERATION aircraft system and payload total combined weight of less than 55 pounds including Outside Salespersons",$1.42
3830(2),"UNMANNED AIRCRAFT SYSTEM MFG. aircraft system and payload total combined weight of 55 pounds or heavier",$1.54
9522(4),"UPHOLSTERING coffin or casket",$6.79
9522(1),"UPHOLSTERING N.O.C.",$6.79
9522(5),"UPHOLSTERING wheelchair",$6.79
9522(2),"UPHOLSTERING furniture",$6.79
4683(1),"VEGETABLE OIL MFG. OR REFINING N.O.C.",$3.35
3634,"VALVE MFG. N.O.C.",$2.75
9079(2),"CONCESSIONAIRES dispensing food and beverage items at ball parks, racetracks, theaters, concert venues and amusement and recreational facilities",$2.56
8209,"VEGETABLES fresh vegetable or tomato packing and handling including storage",$5.08
2915,"VENEER OR VENEER PRODUCTS MFG. N.O.C.",$4.81
2142(3),"VINEGAR MFG.",$2.23
7607(1),"VIDEO POST-PRODUCTION computer or electronic all employees including Clerical Office Employees, Clerical Telecommuter Employees and Outside Salespersons. The entire remuneration of each employee shall be included, subject to a maximum of $144,300 per year. When the policy is in force for less than a 12-month period, the maximum payroll amount shall be prorated based upon the number of weeks in the policy period.",$0.25
6315(1),"WATER MAINS OR CONNECTIONS CONSTRUCTION including tunneling at street crossings employees whose regular hourly wage does not equal or exceed $34.00 per hour",$4.18
4831,"VITAMIN OR DIETARY SUPPLEMENT MFG. compounding, blending or packaging only not manufacturing ingredients",$4.09
0040,"VINEYARDS",$3.23
5446,"WALLBOARD INSTALLATION within buildings including finishing and preparation prior to painting employees whose regular hourly wage does not equal or exceed $36.00 per hour N.O.C.",$5.42
5447,"WALLBOARD INSTALLATION within buildings including finishing and preparation prior to painting employees whose regular hourly wage equals or exceeds $36.00 per hour N.O.C. Assignment of this classification is subject to verification at the time of final audit that the employee's regular hourly wage equals or exceeds $36.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $36.00 per hour shall be classified as 5446, Wallboard Installation.",$2.65
8291(1),"WAREHOUSES cold storage",$4.18
8291(2),"WAREHOUSES climate controlled storage",$4.18
8293(1),"WAREHOUSES furniture including packing, handling and transport away from the employer's premises in connection with storage",$9.37
8215(2),"WAREHOUSES grain or bean including cleaning and handling. Classification 8215(2) shall not be used for division of payroll in connection with Classification 8232(3), Fuel and Material Dealers, unless the operation described by Classification 8215(2) constitutes a separate and distinct enterprise having no connection with the operations covered by Classification 8232(3).",$7.55
8292,"WAREHOUSES general merchandise N.O.C.",$7.60
8290,"WAREHOUSES self-storage all other employees including resident employees and resident Clerical Office Employees. When lodging is provided by the employer, the total remuneration shall include the market value of such lodging to the employee.",$2.97
8740(5),"WAREHOUSES self-storage property management supervisors not resident managers or supervisors",$0.74
7520,"WATER COMPANIES all employees including construction or extension of lines",$2.77
3383(3),"WATCH MFG. including foundry operations",$3.07
6316(1),"WATER MAINS OR CONNECTIONS CONSTRUCTION including tunneling at street crossings employees whose regular hourly wage equals or exceeds $34.00 per hour Assignment of this classification is subject to verification at the time of final audit that the employees regular hourly wage equals or exceeds $34.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $34.00 per hour shall be classified as 6315(1), Water Mains or Connections Construction.",$3.70
3169(2),"WATER HEATER MFG.",$3.39
9519(4),"WATER SOFTENING, CONDITIONING OR FILTRATION SYSTEMS household installation, service or repair shop or outside",$5.75
7272, "WATER TRUCK SERVICE COMPANIES all operations",
5482(2),"WATERPROOFING other than roofing or subaqueous work performed as a separate operation not a part of or incidental to any other operation including shop, yard or storage operations employees whose regular hourly wage equals or exceeds $28.00 per hour. Assignment of this classification is subject to verification at the time of final audit that the employees regular hourly wage equals or exceeds $28.00 per hour. The payroll of an employee whose regular hourly wage is not shown to equal or exceed $28.00 per hour shall be classified as 5474(2), Waterproofing.",$4.34
5474(2),"WATERPROOFING other than roofing or subaqueous work performed as a separate operation not a part of or incidental to any other operation including shop, yard or storage operations employees whose regular hourly wage does not equal or exceed $28.00 per hour",$8.09
8720(3),"WEIGHERS, SAMPLERS OR INSPECTORS OF MERCHANDISE ON DOCKS OR AT RAILWAY STATIONS OR WAREHOUSES including mending or repacking of damaged containers including Outside Salespersons",$1.42
3365, "WELDING OR CUTTING N.O.C. shop or outside including incidental machining operations",$4.26
6003(2), "WHARF BUILDING timber including pile driving",$11.15
3076(6),"WHEELCHAIR MFG. metal",$4.97
2852,"WINDOW BLIND MFG. OR ASSEMBLY all types",$6.26
9521(3),"WINDOW COVERING installation within buildings",$4.63
3131(3),"WINE BOTTLE CORK, CAP, CAPSULE OR WIRE CORK RETAINER MFG.",3131(3)
2142(1),"WINERIES",$2.23
3257,"WIRE GOODS MFG. N.O.C.",$4.66
3241,"WIRE, WIRE ROPE OR WIRE CABLE MFG. including wire drawing",$3.42
4470,"WIRE, WIRE ROPE OR WIRE CABLE MFG. no wire drawing",4470
2702(3),"WOOD CHOPPING OR TIE MAKING including lumbering, timber cutting and incidental sawing",$15.83
2842,"WOOD PRODUCTS MFG. N.O.C.",$6.14
2710(3),"WOOD TREATING OR PRESERVING including yard or incidental woodworking operations",$5.50
